19:16:43.300508
Time,AIN72 THRUST 1,AIN73 THRUST 2,AIN74 THRUST 3,AIN75 LOXLC1,AIN76 LOXLC2,AIN77 LOXPT1,AIN78 LOXPT2,AIN79 LOXPT3,AIN80 FLPT1,AIN81 FLPT2,AIN82 FLPT3,AIN83 TC1,AIN84 TC2,AIN96 LOX PT4,AIN97 CHAMBERPT,AIN98 FLPT4,AIN99 FLLC2,AIN100 FLLC1,LOX WEIGHT RAW,FUEL WEIGHT RAW,THRUST,LOX SUPPLY,LOX LINE,LOX INLET,LOX MANIFOLD,FUEL SUPPLY,FUEL LINE,FUEL INLET,FUEL MANIFOLD,ENGINE T,CHAMBER P,LOX WEIGHT,FUEL WEIGHT
Seconds,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,LBS,LBS,LBS,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,C,PSI,kg,kg
18.044389009475708,-10.583762168884277,-10.501209259033203,-10.439291000366211,10.106359481811523,-10.58375072479248,0.008191820234060287,0.8020769357681274,0.007132384460419416,0.005590714048594236,0.004029310308396816,0.005295946728438139,5.050588130950928,5.0496826171875,0.010131859220564365,-1.745224952697754,-1.669777512550354,10.106359481811523,10.106359481811523,-34.1741082630157,88.86190555572487,-3086.3497322712265,464.6680081497788,3.1065728967063126,1.1157794226813134,-0.1375475395065937,-2.696851764794998,0.850502926330408,1.2566178465068807,-761.2248743796267,916.3385689735412,-747.616466739408,-34.1741082630157,88.86190555572487
18.145052909851074,-10.583786964416504,-10.487382888793945,-10.429677963256836,10.106359481811523,-10.583686828613281,0.008247320540249348,0.8019042611122131,0.0071262177079916,0.005583314225077629,0.004044109955430031,0.005329246632754803,5.050584316253662,5.049690246582031,0.010061558336019516,-1.745224952697754,-1.669777512550354,10.106359481811523,10.106359481811523,-34.17368482303613,88.86190555572487,-3084.029323869508,464.5666475569308,3.1387543829480187,1.1121778949614618,-0.16053033139633177,-2.688319948836044,0.8461910573070868,1.2760277979646808,-761.2248743796267,916.337864780426,-747.616466739408,-34.17368482303613,88.86190555572487
18.248213052749634,-10.58376693725586,-10.48858642578125,-10.431940078735352,10.106359481811523,-10.583742141723633,0.008241154253482819,0.801329493522644,0.007160751149058342,0.005583314225077629,0.004044109955430031,0.005329246632754803,5.050584316253662,5.049690246582031,0.010061558336019516,-1.7452630996704102,-1.6698108911514282,10.106359481811523,10.106359481811523,-34.17379038047785,88.86190555572487,-3084.3707883349452,464.22925708512065,3.13517890226394,1.13234623262696,-0.16053033139633177,-2.688319948836044,0.8461910573070868,1.2760277979646808,-761.2399281741061,916.337864780426,-747.6325553216376,-34.17379038047785,88.86190555572487
18.34948492050171,-10.583749771118164,-10.501187324523926,-10.431940078735352,10.106359481811523,-10.583742141723633,0.008241154253482819,0.801329493522644,0.007160751149058342,0.005607980769127607,0.004020676948130131,0.0053070466965436935,5.050584316253662,5.049702167510986,0.010120758786797523,-1.7452175617218018,-1.669847846031189,10.106359481811523,10.106359481811523,-34.17404775238037,88.86190555572487,-3085.617847183946,464.22925708512065,3.13517890226394,1.13234623262696,-0.14117649753181416,-2.701828791661747,0.8605642253918107,1.2630878303261472,-761.2565948751368,916.337864780426,-747.613349576601,-34.17404775238037,88.86190555572487
18.451376914978027,-10.583749771118164,-10.501187324523926,-10.442543983459473,10.106359481811523,-10.583745956420898,0.00824238732457161,0.8027873039245605,0.0070978510193526745,0.005642514210194349,0.004010810051113367,0.0053243134170770645,5.050607681274414,5.049373149871826,0.010384692810475826,-1.745232343673706,-1.6697553396224976,10.106359481811523,10.106359481811523,-34.17407464599604,88.86190555572487,-3086.6687033675034,465.08499660181997,3.1358938903965052,1.0956110850158152,-0.05489108621597438,-2.7075169374157677,0.8806868235146159,1.2731523099174724,-761.2148743590083,916.3421779632569,-747.619583902215,-34.17407464599604,88.86190555572487
18.5521719455719,-10.58377456665039,-10.495418548583984,-10.437410354614258,10.106359481811523,-10.583769798278809,0.0082201873883605,0.8010199666023254,0.007105251308530569,0.005605514161288738,0.0040169768035411835,0.0053243134170770645,5.050607681274414,5.049373149871826,0.010384692810475826,-1.745232343673706,-1.6697553396224976,10.106359481811523,10.106359481811523,-34.17422256088252,88.86190555572487,-3085.590722827018,464.0475637614548,3.1230214039040733,1.0999330270624719,-0.05489108621597438,-2.703961879875511,0.8591269357173701,1.2731523099174724,-761.2148743590083,916.3421779632569,-747.619583902215,-34.17422256088252,88.86190555572487
18.66442108154297,-10.583752632141113,-10.500876426696777,-10.442721366882324,10.106359481811523,-10.583710670471191,0.008267054334282875,0.8017106056213379,0.007105251308530569,0.005605514161288738,0.0040169768035411835,0.005291013512760401,5.050540924072266,5.049691200256348,0.010141725651919842,-1.7451891899108887,-1.6697356700897217,10.106359481811523,10.106359481811523,-34.17413434982295,88.86190555572487,-3086.6557555037434,464.4529711447239,3.150196893175319,1.0999330270624719,-0.13432200201861733,-2.703961879875511,0.8591269357173701,1.2537423584596719,-761.2060033729758,916.3298545837403,-747.6013836935678,-34.17413434982295,88.86190555572487
18.775640964508057,-10.58381175994873,-10.498757362365723,-10.44179630279541,10.106359481811523,-10.583710670471191,0.008267054334282875,0.8017106056213379,0.0071138846687972546,0.005614147521555424,0.004029310308396816,0.005316913593560457,5.050623893737793,5.0496506690979,0.010157759301364422,-1.7452187538146973,-1.6698083877563477,10.106359481811523,10.106359481811523,-34.1738258800506,88.86190555572487,-3086.3599393463073,464.4529711447239,3.150196893175319,1.1049751114788466,-0.12908027524940824,-2.696851764794998,0.8641575852480714,1.2688390778466594,-761.2387991395201,916.3451707839965,-747.6138523447956,-34.1738258800506,88.86190555572487
18.88617205619812,-10.58381175994873,-10.498757362365723,-10.44179630279541,10.106359481811523,-10.583720207214355,0.008270754478871822,0.8026849627494812,0.007110184524208307,0.005619080737233162,0.0040367101319134235,0.005363780073821545,5.050601482391357,5.049675464630127,0.010125692002475262,-1.7452409267425537,-1.6698046922683716,10.106359481811523,10.106359481811523,-34.17389311408991,88.86190555572487,-3086.3599393463073,465.02492199432254,3.152342397594266,1.1028141404555183,-0.1395637287878264,-2.692585856815521,0.8670321645969525,1.2961567571473307,-761.2371324694171,916.3410336494445,-747.6232038332166,-34.17389311408991,88.86190555572487
